in:Index,out:EveningMaxSunhoursLoss,out:EveningTotalSunhoursLoss,out:MaxSunhoursLoss,out:TotalSunhoursLoss,out:Volume,img_1,img_2
4450,8,4858,18,12653,"522,000",{89;0}_SiteColibriView.png,{89;0}_SiteColibriView2.png
4451,3,3431,7,7683,"711,333",{89;1}_SiteColibriView.png,{89;1}_SiteColibriView2.png
4452,4,3476,7,7856,"669,667",{89;2}_SiteColibriView.png,{89;2}_SiteColibriView2.png
4453,9,5353,14,13722,"495,667",{89;3}_SiteColibriView.png,{89;3}_SiteColibriView2.png
4454,6,2978,9,6624,"793,667",{89;4}_SiteColibriView.png,{89;4}_SiteColibriView2.png
4455,9,6622,16,16250,"453,000",{89;5}_SiteColibriView.png,{89;5}_SiteColibriView2.png
4456,8,6517,15,16688,"468,333",{89;6}_SiteColibriView.png,{89;6}_SiteColibriView2.png
4457,7,5164,15,13394,"518,000",{89;7}_SiteColibriView.png,{89;7}_SiteColibriView2.png
4458,4,3048,7,6751,"734,333",{89;8}_SiteColibriView.png,{89;8}_SiteColibriView2.png
4459,6,3850,9,9544,"621,333",{89;9}_SiteColibriView.png,{89;9}_SiteColibriView2.png
4460,8,5267,18,13717,"499,333",{89;10}_SiteColibriView.png,{89;10}_SiteColibriView2.png
4461,6,3096,7,6732,"767,333",{89;11}_SiteColibriView.png,{89;11}_SiteColibriView2.png
4462,8,4995,12,12282,"522,000",{89;12}_SiteColibriView.png,{89;12}_SiteColibriView2.png
4463,4,3268,7,7437,"719,000",{89;13}_SiteColibriView.png,{89;13}_SiteColibriView2.png
4464,7,4162,11,9871,"589,333",{89;14}_SiteColibriView.png,{89;14}_SiteColibriView2.png
4465,5,3876,12,9529,"604,667",{89;15}_SiteColibriView.png,{89;15}_SiteColibriView2.png
4466,9,5892,16,14417,"485,000",{89;16}_SiteColibriView.png,{89;16}_SiteColibriView2.png
4467,3,3300,7,7638,"726,667",{89;17}_SiteColibriView.png,{89;17}_SiteColibriView2.png
4468,5,3777,9,8360,"663,333",{89;18}_SiteColibriView.png,{89;18}_SiteColibriView2.png
4469,7,3984,12,10521,"584,333",{89;19}_SiteColibriView.png,{89;19}_SiteColibriView2.png
4470,9,5627,14,14514,"485,000",{89;20}_SiteColibriView.png,{89;20}_SiteColibriView2.png
4471,9,4935,13,12799,"522,000",{89;21}_SiteColibriView.png,{89;21}_SiteColibriView2.png
4472,8,5302,18,13773,"495,667",{89;22}_SiteColibriView.png,{89;22}_SiteColibriView2.png
4473,7,5411,10,14215,"526,000",{89;23}_SiteColibriView.png,{89;23}_SiteColibriView2.png
4474,3,3633,7,8223,"704,333",{89;24}_SiteColibriView.png,{89;24}_SiteColibriView2.png
4475,6,4696,11,12083,"542,667",{89;25}_SiteColibriView.png,{89;25}_SiteColibriView2.png
4476,7,4691,15,11779,"542,667",{89;26}_SiteColibriView.png,{89;26}_SiteColibriView2.png
4477,8,5740,16,14795,"478,333",{89;27}_SiteColibriView.png,{89;27}_SiteColibriView2.png
4478,5,4259,8,9772,"615,667",{89;28}_SiteColibriView.png,{89;28}_SiteColibriView2.png
4479,4,3227,7,7550,"726,667",{89;29}_SiteColibriView.png,{89;29}_SiteColibriView2.png
4480,5,3591,9,8518,"644,667",{89;30}_SiteColibriView.png,{89;30}_SiteColibriView2.png
4481,9,6105,16,15497,"456,000",{89;31}_SiteColibriView.png,{89;31}_SiteColibriView2.png
4482,8,6061,13,15388,"485,000",{89;32}_SiteColibriView.png,{89;32}_SiteColibriView2.png
4483,8,6411,16,16574,"459,000",{89;33}_SiteColibriView.png,{89;33}_SiteColibriView2.png
4484,6,4405,11,11116,"569,667",{89;34}_SiteColibriView.png,{89;34}_SiteColibriView2.png
