in:Index,out:Result,out:EveningAverageSunhoursLoss,out:MaxSunhoursLoss,out:AverageSunhoursLoss,out:Volume,img
1376,1.25,0.109695,10,0.245077,154535.620461,{27;26}_OptimizationIsoViewSW.png
1377,1.25,0.10916,9,0.252504,157753.588894,{27;27}_OptimizationIsoViewSW.png
1378,1.75,0.139348,11,0.331645,196656.833825,{27;28}_OptimizationIsoViewSW.png
1379,1.5,0.106516,9,0.233626,151308.821304,{27;29}_OptimizationIsoViewSW.png
1380,2.25,0.150799,16,0.364703,209643.60587,{27;30}_OptimizationIsoViewSW.png
1381,2,0.114759,11,0.251491,159413.358839,{27;31}_OptimizationIsoViewSW.png
1382,2.25,0.15606,15,0.380571,216169.47687,{27;32}_OptimizationIsoViewSW.png
1383,1.75,0.124578,9,0.299263,183755.972069,{27;33}_OptimizationIsoViewSW.png
1384,2.25,0.14264,13,0.345431,199960.007998,{27;34}_OptimizationIsoViewSW.png
1385,2.25,0.123424,14,0.291329,178826.895565,{27;35}_OptimizationIsoViewSW.png
1386,2.25,0.159408,18,0.399561,217722.62138,{27;36}_OptimizationIsoViewSW.png
1387,1.5,0.114731,10,0.262098,162680.982593,{27;37}_OptimizationIsoViewSW.png
1388,2,0.137126,11,0.325653,190150.218673,{27;38}_OptimizationIsoViewSW.png
1389,1.75,0.13887,12,0.347597,203128.173878,{27;39}_OptimizationIsoViewSW.png
1390,1.75,0.133103,12,0.321376,196656.833825,{27;40}_OptimizationIsoViewSW.png
1391,1.5,0.117348,9,0.283705,175623.463295,{27;41}_OptimizationIsoViewSW.png
1392,1.5,0.133356,11,0.306156,177210.703526,{27;42}_OptimizationIsoViewSW.png
1393,2,0.126857,11,0.315637,186950.831931,{27;43}_OptimizationIsoViewSW.png
1394,1.75,0.106825,11,0.250169,152905.198777,{27;44}_OptimizationIsoViewSW.png
1395,1.75,0.148858,9,0.371117,199960.007998,{27;45}_OptimizationIsoViewSW.png
1396,2,0.152797,16,0.369823,216169.47687,{27;46}_OptimizationIsoViewSW.png
1397,2,0.10871,11,0.239956,154535.620461,{27;47}_OptimizationIsoViewSW.png
